id_dataset,code_secteur,code_site,nom_site,x_l93,y_l93,date_visite,observateurs,condition_prospection,nom_taxon,nom_complet_taxon,techn_observation,statut_observation,nb_ep_tot,nb_ep_w,nb_ep_dnf,nb_ep_df,annee,mois,jour,statut_presence,date_annee,annee_perm,annee_perm_index
85,J25,J25-005,Impasse de Kerbriant,196810.47618797416,6863851.751668579,2023-05-31T00:00:00Z,BTS GPN Suscinio,Bonnes,"Lutra lutra (Linnaeus, 1758)",Lutra lutra,FÃ¨ces/Guano/Epreintes,Absent,0,0,0,0,2023,5,31,0,151,2016,5
85,J25,J25-013,Kervoaziou-la vallÃ©e des moulins,202746.35001409322,6863210.558236295,2023-05-31T00:00:00Z,BTS GPN Suscinio,Moyennes,"Lutra lutra (Linnaeus, 1758)",Lutra lutra,FÃ¨ces/Guano/Epreintes,Absent,1,0,1,0,2023,5,31,0,151,2017,6
85,J25,J25-035,coatsaopell-ruisseau,206369.07626290875,6852659.291677239,2012-03-13T00:00:00Z,BTS GPN Suscinio,Non renseignÃ©,"Lutra lutra (Linnaeus, 1758)",Lutra lutra,Empreintes,Absent,0,0,0,0,2012,3,13,0,73,2023,12
85,J25,J25-023,Kozampaul,208259.1026853262,6863018.674567544,2011-04-22T00:00:00Z,BTS GPN Suscinio,Moyennes,"Lutra lutra (Linnaeus, 1758)",Lutra lutra,FÃ¨ces/Guano/Epreintes,Présent,0,0,0,0,2011,4,22,1,112,2019,8
85,J25,J25-060,Rue Sainte GeneviÃ¨ve-Garlan,198645.3166198826,6854254.0010517975,2019-05-21T00:00:00Z,BTS GPN Suscinio,Moyennes,"Lutra lutra (Linnaeus, 1758)",Lutra lutra,FÃ¨ces/Guano/Epreintes,Absent,0,0,0,0,2019,5,21,0,141,2016,5
85,J25,J25-003,"Lieu-dit Rosludu, Le corniou rau",198045.81493633776,6860291.542584198,2019-05-21T00:00:00Z,BTS GPN Suscinio,Moyennes,"Lutra lutra (Linnaeus, 1758)",Lutra lutra,FÃ¨ces/Guano/Epreintes,Présent,2,2,0,0,2019,5,21,1,141,2018,7
85,J25,J25-012,Kerarpont-Pontplencoat,202994.63375371892,6861363.380337897,2023-05-31T00:00:00Z,BTS GPN Suscinio,Moyennes,"Lutra lutra (Linnaeus, 1758)",Lutra lutra,FÃ¨ces/Guano/Epreintes,Absent,0,0,0,0,2023,5,31,0,151,2017,6
85,J25,J25-037,lanleva,205727.5587680767,6854534.539706487,2023-05-31T00:00:00Z,BTS GPN Suscinio,Moyennes,"Lutra lutra (Linnaeus, 1758)",Lutra lutra,FÃ¨ces/Guano/Epreintes,Présent,3,0,0,3,2023,5,31,1,151,2012,1
85,J25,J25-038,keridec-dourduff,205552.36569464556,6855925.516473618,2023-05-31T00:00:00Z,BTS GPN Suscinio,Moyennes,"Lutra lutra (Linnaeus, 1758)",Lutra lutra,Empreintes et fÃ¨ces,Présent,3,1,1,1,2023,5,31,1,151,2018,7
85,J25,J25-007,Lieut-dit L'abbesse,198743.69999818644,6866152.030892862,2023-05-31T00:00:00Z,BTS GPN Suscinio,Moyennes,"Lutra lutra (Linnaeus, 1758)",Lutra lutra,FÃ¨ces/Guano/Epreintes,Présent,2,0,1,1,2023,5,31,1,151,2014,3
85,J25,J25-051,Kerovou-Garlan1,202716.8025216816,6857598.307695981,2023-05-31T00:00:00Z,BTS GPN Suscinio,Non renseignÃ©,"Lutra lutra (Linnaeus, 1758)",Lutra lutra,FÃ¨ces/Guano/Epreintes,Présent,0,0,0,0,2023,5,31,0,151,2017,6
85,J25,J25-027,Kerudal,208631.15566600626,6861812.424482265,2023-05-31T00:00:00Z,BTS GPN Suscinio,Moyennes,"Lutra lutra (Linnaeus, 1758)",Lutra lutra,FÃ¨ces/Guano/Epreintes,Absent,0,0,0,0,2023,5,31,0,151,2019,8
85,J25,J25-053,BeausÃ©jour-Dourduff,200730.5458513273,6856244.774722425,2023-05-31T00:00:00Z,BTS GPN Suscinio,Non renseignÃ©,"Lutra lutra (Linnaeus, 1758)",Lutra lutra,FÃ¨ces/Guano/Epreintes,Présent,2,0,1,1,2023,5,31,1,151,2017,6
85,J25,J25-052,Kerovou-Garlan2,202437.03415472567,6857593.74475056,2023-05-31T00:00:00Z,BTS GPN Suscinio,Non renseignÃ©,"Lutra lutra (Linnaeus, 1758)",Lutra lutra,FÃ¨ces/Guano/Epreintes,Présent,0,0,0,0,2023,5,31,0,151,2018,7
85,J25,J25-002,Le corniou rau,198562.95961799152,6860250.344900633,2023-05-31T00:00:00Z,BTS GPN Suscinio,Bonnes,"Lutra lutra (Linnaeus, 1758)",Lutra lutra,FÃ¨ces/Guano/Epreintes,Absent,0,0,0,0,2023,5,31,0,151,2023,12
85,J25,J25-045,GuÃ©ronvel-dourduff,203465.11690555286,6855734.628900624,2023-05-31T00:00:00Z,BTS GPN Suscinio,Moyennes,"Lutra lutra (Linnaeus, 1758)",Lutra lutra,FÃ¨ces/Guano/Epreintes,Présent,1,0,0,1,2023,5,31,1,151,2023,12
