code_site	Itineraire	X	Y	commune	cours_eau	date_visite	Annee	Mois	Jour	observateurs	statut_observation	description	observation	bilan_choix_site	nombre_epreinte	nb_ep_tot	nb_ep_w	nb_ep_dnf	nb_ep_df
30	4	48.67459	 -3.53511	Ploumilliau	Kerdu	NA	2020	10	NA	NA	1	NA	NA	Favorable	NA	1	NA	NA	NA
31	4	48.67299	 -3.53261	Ploumilliau	Kerdu	NA	2020	10	NA	NA	1	NA	NA	Favorable	NA	1	NA	NA	NA
36	4	48.663573	 -3.517329	Ploumilliau	Kerdu	NA	2020	10	NA	NA	1	NA	NA	Très favorable	NA	1	NA	NA	NA
372	1	48.663	 -3.601	Plestin les grèves	Quinquis	NA	2020	10	NA	NA	Peut-être	NA	Marquage urinaire	Favorable	NA	Peut-être	NA	NA	NA
41	1	48.653	 -3.603	Plestin les grèves	Quinquis	NA	2020	10	NA	NA	0	NA	NA	Favorable	NA	0	NA	NA	NA
42	1	48.655505	 -3.599438	Plestin les grèves	Quinquis	NA	2020	10	NA	NA	0	NA	NA	Favorable	NA	0	NA	NA	NA
45	2	48.59425	 -3.57095	Plufur	Yar	NA	2020	10	NA	NA	0	NA	NA	Favorable	NA	0	NA	NA	NA
46	3	48.632757	 -3.562284	Plufur	Yar	NA	2020	10	NA	NA	0	NA	NA	Favorable	NA	0	NA	NA	NA
52	3	48.632757	 -3.562284	Lanvellec	Yar (Dour Elego)	NA	2020	10	NA	NA	0	NA	NA	Favorable	NA	0	NA	NA	NA
53	2	48.61999	 -3.5675	Plufur	Yar	NA	2020	10	NA	NA	Peut-être	NA	Marquage urinaire	Favorable	NA	Peut-être	NA	NA	NA
54	2	48.60418	 -3.5697	Plufur	Yar	NA	2020	10	NA	NA	0	NA	NA	Très favorable	NA	0	NA	NA	NA
58	1	48.599651,	 -3.601555	Trémel	Yar	NA	2020	10	NA	NA	0	NA	NA	Très favorable	NA	0	NA	NA	NA
61	1	48.566940	  -3.563340	Plounérin	Yar	NA	2020	10	NA	NA	1	NA	NA	Très favorable	NA	1	NA	NA	NA
62	1	48.560412	 -3.569003	Plounérin	Yar	NA	2020	10	NA	NA	1	NA	NA	NA	NA	1	NA	NA	NA
64	1	48.554	- 3.578	Plounérin	Yar	NA	2020	10	NA	NA	0	NA	NA	Favorable	NA	0	NA	NA	NA
65	1	48.553	 - 3.580	Plounérin	Yar	NA	2020	10	NA	NA	0	NA	NA	Favorable	NA	0	NA	NA	NA
68	3	48.572835	 -3.551346	Plounérin	Yar	NA	2020	10	NA	NA	0	NA	NA	Favorable	NA	0	NA	NA	NA
69	3	48.56967	 -3.52704	Plounérin	Yar (Dour Elego)	NA	2020	10	NA	NA	0	NA	NA	Favorable	NA	0	NA	NA	NA
70	3	48.57807,	 -3.54197	Plounérin	Yar	NA	2020	10	NA	NA	0	NA	NA	Favorable	NA	0	NA	NA	NA
72	NA	NA	NA	Plounérin	Yar (Dour Elego)	NA	2020	10	NA	NA	0	NA	NA	Très favorable	NA	0	NA	NA	NA
73	3	48.58387	-3.52232	Plounérin	Yar (Dour Elego)	NA	2020	10	NA	NA	0	NA	NA	Très favorable	NA	0	NA	NA	NA
